document,rank,term,tfidf
How_DeepSeek_is_shaking_up_the_world_of_AI,1,external,0.579050339149361
How_DeepSeek_is_shaking_up_the_world_of_AI,2,bbc,0.36412734356760407
How_DeepSeek_is_shaking_up_the_world_of_AI,3,linking,0.2895251695746805
How_DeepSeek_is_shaking_up_the_world_of_AI,4,reserved,0.2895251695746805
How_DeepSeek_is_shaking_up_the_world_of_AI,5,responsible,0.26624712857391153
How_DeepSeek_is_shaking_up_the_world_of_AI,6,copyright,0.24973109564332388
How_DeepSeek_is_shaking_up_the_world_of_AI,7,sites,0.24973109564332388
How_DeepSeek_is_shaking_up_the_world_of_AI,8,rights,0.2264530546425549
How_DeepSeek_is_shaking_up_the_world_of_AI,9,read,0.19712619130343875
How_DeepSeek_is_shaking_up_the_world_of_AI,10,approach,0.18665898071119832
Is_DeepSeek_China’s_Sputnik_Moment?,1,gave,0.3015298654859806
Is_DeepSeek_China’s_Sputnik_Moment?,2,byd,0.15393023686696317
Is_DeepSeek_China’s_Sputnik_Moment?,3,administration,0.11807294825994649
Is_DeepSeek_China’s_Sputnik_Moment?,4,british,0.10828614446846029
Is_DeepSeek_China’s_Sputnik_Moment?,5,tesla,0.10828614446846029
Is_DeepSeek_China’s_Sputnik_Moment?,6,happen,0.10273122777374413
Is_DeepSeek_China’s_Sputnik_Moment?,7,second,0.10050995516199354
Is_DeepSeek_China’s_Sputnik_Moment?,8,industry,0.09634465579536056
Is_DeepSeek_China’s_Sputnik_Moment?,9,export,0.09551842000539248
Is_DeepSeek_China’s_Sputnik_Moment?,10,comments,0.09103099717645478
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",1,advent,0.24808741602579382
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",2,r1,0.21717962296277854
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",3,technical,0.13241407053010973
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",4,really,0.1301255690139838
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",5,indicates,0.12404370801289691
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",6,pc,0.12404370801289691
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",7,commoditised,0.12404370801289691
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",8,ibm,0.11407050076029976
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",9,like,0.10744038756799064
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",10,makers,0.10699439760359385
The_Chinese_AI_companies_that_could_match_DeepSeek,1,zhipu,0.3355304101814074
The_Chinese_AI_companies_that_could_match_DeepSeek,2,moonshot,0.2875974944412063
The_Chinese_AI_companies_that_could_match_DeepSeek,3,alibaba,0.2760308476348142
The_Chinese_AI_companies_that_could_match_DeepSeek,4,qwen,0.2606185019200693
The_Chinese_AI_companies_that_could_match_DeepSeek,5,max,0.1917316629608042
The_Chinese_AI_companies_that_could_match_DeepSeek,6,sheehan,0.1563711011520416
The_Chinese_AI_companies_that_could_match_DeepSeek,7,cloud,0.15118125219029319
The_Chinese_AI_companies_that_could_match_DeepSeek,8,kimi,0.14379874722060315
The_Chinese_AI_companies_that_could_match_DeepSeek,9,version,0.11765497503979072
The_Chinese_AI_companies_that_could_match_DeepSeek,10,o1,0.11541967462945153
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,1,meta,0.22015063397634047
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,2,vindication,0.18517470068674297
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,3,greeted,0.18517470068674297
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,4,unconventional,0.18517470068674297
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,5,build,0.171476790804488
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,6,nimble,0.1702865157278209
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,7,billions,0.16228511445515273
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,8,circles,0.1597231803917368
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,9,criticized,0.1597231803917368
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,10,closing,0.15152962095117842
Was_this_the_week_DeepSeek_started_the_slow_unwind,1,ccp,0.1310541896953031
